reliability,sex,subj,agem,experiment,exp,cost,HV_side,first_test,first_fam,first_test_scene,prefam_config,prefam_firstevent,prefam_1,prefam_2,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,avg.lower,avg.higher,lower1,lower2,higher1,higher2,prop.lower,prop.higher,pref.raw,pre.low,pre.high
0,m,15-MR,9.8,MR10,Exp.3,Risk,,high,fam2,LH,LH,low,14.994,11.016,60,60,60,52.5,6.4,3,31.121,5.814,NA - 3.604,NA - 2.108,40.31666667,241.9,5.814,31.121,5.814,NA - 2.108,31.121,NA - 3.604,0.157411669,0.842588331,higher,14.994,11.016
0,f,17-MR,10.26666667,MR10,Exp.3,Risk,,low,fam1,LH,HL,high,10.2,18.19,14.3,11.7,5.9,6.4,6.9,7.1,29.444,31.62,5.406,22.542,8.716666667,52.3,17.425,27.081,29.444,5.406,31.62,22.542,0.391520244,0.608479756,higher,18.19,10.2
0,m,18-MR,9.666666667,MR10,Exp.3,Risk,,low,fam1,LH,HL,high,9.758,8.398,60,23.7,19.1,19.5,4.4,7.3,9.282,21.25,8.364,8.704,22.33333333,134,8.823,14.977,9.282,8.364,21.25,8.704,0.370714286,0.629285714,higher,8.398,9.758
1,m,19-MR,10.3,MR10,Exp.3,Risk,,low,fam1,LH,HL,high,16.966,53.686,60,60,60,60,60,23,60,60,NA - 1.292,NA - 1.088,53.83333333,323,60,60,60,NA - 1.292,60,NA - 1.088,0.5,0.5,lower,53.686,16.966
1,m,21-MR,9.466666667,MR10,Exp.3,Risk,,high,fam1,HL,LH,low,21.998,3.196,60,60,60,60,33.8,28.2,39.848,60,60,32.776,50.33333333,302,46.388,49.924,60,32.776,39.848,60,0.481642994,0.518357006,higher,21.998,3.196
0,f,22-MR,9.466666667,MR10,Exp.3,Risk,,low,fam1,LH,HL,high,9.996,23.358,60,60,60,21.3,10.3,3.2,6.664,6.392,NA - 2.72,NA - 2.788,35.8,214.8,6.664,6.392,6.664,NA - 2.72,6.392,NA - 2.788,0.510416667,0.489583333,lower,23.358,9.996
0,f,28-MR,10.26666667,MR10,Exp.3,Risk,,high,fam1,HL,LH,low,9.622,39.27,60,60,19.3,60,40.3,7.4,NA - 2.21,8.194,14.008,7.038,41.16666667,247,7.616,14.008,8.194,7.038,NA - 2.21,14.008,0.352201258,0.647798742,higher,9.622,39.27
1,f,29-MR,9.8,MR10,Exp.3,Risk,,low,fam2,HL,HL,high,13.226,14.552,48.9,31.8,4.4,4.1,11.8,8.1,9.792,11.288,5.746,NA - 3.808,18.18333333,109.1,7.769,11.288,9.792,5.746,11.288,NA - 3.808,0.407671722,0.592328278,higher,14.552,13.226
0,f,30-MR,9.566666667,MR10,Exp.3,Risk,,high,fam1,HL,LH,low,19.278,8.228,60,35.1,11.4,31.5,3.3,2.8,40.834,12.954,15.164,12.07,24.01666667,144.1,12.512,27.999,12.954,12.07,40.834,15.164,0.308854385,0.691145615,higher,19.278,8.228
1,f,35-MR,9.966666667,MR10,Exp.3,Risk,,high,fam2,LH,LH,low,13.022,12.58,14.2,24.8,60,60,59,60,60,17.918,44.71,17.578,46.33333333,278,17.748,52.355,17.918,17.578,60,44.71,0.253170335,0.746829665,higher,13.022,12.58
0,f,36-MR,9.7,MR10,Exp.3,Risk,,low,fam2,HL,HL,high,10.472,5.76,60,44.9,40,17.1,3.8,3.3,5.134,NA-4.046,19.176,9.996,28.18333333,169.1,12.155,9.996,5.134,19.176,NA-4.046,9.996,0.548733691,0.451266309,lower,5.76,10.472
