"","subj","experiment.x","action","yesno","age.at.study","age.at.survey","prop.lower","prop.higher","avg.lower","avg.higher","exp","agegroup","looking.to.unexp","LTdiff","age","category","monthsPerformed","yesnoAtStudy"
"61","70","RISK10","reaches","yes",10.3667,22.5,0.62828536,0.37171464,10.04,5.94,"RISK","10",0.62828536,4.1,7,"objectdirected",3.3667,"1"
"62","72","RISK10","reaches","yes",10.5333,22.3,0.48476229,0.51523771,11.93,12.68,"RISK","10",0.48476229,-0.75,4.5,"objectdirected",6.0333,"1"
"63","73","RISK10","reaches","yes",10.0667,21.2,0.56094151,0.43905849,24.07,18.84,"RISK","10",0.56094151,5.23,4.5,"objectdirected",5.5667,"1"
"64","74","RISK10","reaches","yes",9.7667,20.9,0.67677913,0.32322087,23.87,11.4,"RISK","10",0.67677913,12.47,3,"objectdirected",6.7667,"1"
"65","77","RISK10","reaches","yes",10.6333,22.6,0.52951144,0.47048856,9.38,8.33,"RISK","10",0.52951144,1.05,3,"objectdirected",7.6333,"1"
"66","78","RISK10","reaches","yes",10.0667,20.3,0.39440449,0.60559551,22.49,34.53,"RISK","10",0.39440449,-12.04,NA,"objectdirected",NA,NA
"67","81","RISK10","reaches","yes",10.2333,20.4,0.61828069,0.38171931,14.78,9.13,"RISK","10",0.61828069,5.65,3,"objectdirected",7.2333,"1"
"68","82","RISK10","reaches","yes",9.6,20.3,0.60326531,0.39673469,11.09,7.29,"RISK","10",0.60326531,3.8,6,"objectdirected",3.6,"1"
"69","87","RISK10","reaches","yes",9.6333,20.2,0.75194565,0.24805435,30.44,10.04,"RISK","10",0.75194565,20.4,3,"objectdirected",6.6333,"1"
"70","88","RISK10","reaches","yes",10.4667,20.5,0.55365517,0.44634483,20.07,16.18,"RISK","10",0.55365517,3.89,4,"objectdirected",6.4667,"1"
"71","91","RISK10","reaches","yes",10.233,19.2,0.19541328,0.80458672,4.09,16.84,"RISK","10",0.19541328,-12.75,6.83,"objectdirected",3.403,"1"
"72","92","RISK10","reaches","yes",10.0333,21.6,0.54316912,0.45683088,21.39,17.99,"RISK","10",0.54316912,3.4,10,"objectdirected",0.0333000000000006,"1"
"73","93","RISK10","reaches","yes",10.3,19.2,0.54578474,0.45421526,14.28,11.88,"RISK","10",0.54578474,2.4,7.2,"objectdirected",3.1,"1"
"74","94","RISK10","reaches","yes",9.7333,18,0.40696943,0.59303057,16.18,23.57,"RISK","10",0.40696943,-7.39,4,"objectdirected",5.7333,"1"
"75","96","RISK10","reaches","yes",10.4,22.7,0.40508744,0.59491256,6.37,9.36,"RISK","10",0.40508744,-2.99,NA,"objectdirected",NA,NA
"76","97","RISK10","reaches","yes",9.8333,18.8,0.53763099,0.46236901,42.33,36.4,"RISK","10",0.53763099,5.93,2,"objectdirected",7.8333,"1"
"77","98","RISK10","reaches","yes",10.5667,18.9,0.66953077,0.33046923,60,29.62,"RISK","10",0.66953077,30.38,4,"objectdirected",6.5667,"1"
"78","100","RISK13","reaches","yes",13.4,33.7,0.63946188,0.36053812,14.26,8.04,"RISK","13",0.63946188,6.22,2.4,"objectdirected",11,"1"
"79","103","RISK13","reaches","yes",13.2,31.1,0.51927096,0.48072904,21.88,21.51,"RISK","13",0.51927096,0.369999999999997,8,"objectdirected",5.2,"1"
"80","104","RISK13","reaches","no",12.633,30.1,0.53881823,0.46118177,41.62,37.55,"RISK","13",0.53881823,4.07,1,"objectdirected",11.633,"1"
"81","105","RISK13","reaches","yes",12.6,30.2,0.59842533,0.40157467,14.99,8.53,"RISK","13",0.59842533,6.46,2,"objectdirected",10.6,"1"
"82","110","RISK13","reaches","yes",13.467,31.6,0.55009065,0.44990936,15.71,14.84,"RISK","13",0.55009065,0.870000000000001,2,"objectdirected",11.467,"1"
"83","111","RISK13","reaches","yes",13.233,28.9,0.33967572,0.66032428,15.62,27.81,"RISK","13",0.33967572,-12.19,3.5,"objectdirected",9.733,"1"
"84","112","RISK13","reaches","yes",12.767,30.2,0.56444819,0.43555181,13.4,10.34,"RISK","13",0.56444819,3.06,5,"objectdirected",7.767,"1"
"85","113","RISK13","reaches","yes",12.767,30.2,0.66573816,0.33426184,14.34,7.2,"RISK","13",0.66573816,7.14,2,"objectdirected",10.767,"1"
"86","115","RISK13","reaches","yes",12.567,31.7,0.52432725,0.47567275,36.59,39.02,"RISK","13",0.52432725,-2.43,2,"objectdirected",10.567,"1"
"87","116","RISK13","reaches","yes",13.1,31.3,0.37291402,0.62708598,22.45,42.66,"RISK","13",0.37291402,-20.21,3,"objectdirected",10.1,"1"
"88","117","RISK13","reaches","yes",12.767,30.1,0.46805528,0.53194472,12.24,13.16,"RISK","13",0.46805528,-0.92,NA,"objectdirected",NA,NA
"89","122","RISK13","reaches","yes",13.067,31,0.70845838,0.29154162,23.71,8.54,"RISK","13",0.70845838,15.17,5.5,"objectdirected",7.567,"1"
"90","123","RISK13","reaches","yes",12.933,30,0.64370569,0.35629431,52.59,35.96,"RISK","13",0.64370569,16.63,2.25,"objectdirected",10.683,"1"
"91","125","RISK13","reaches","yes",13.133,31.8,0.61721353,0.38278647,22.62,11.03,"RISK","13",0.61721353,11.59,3,"objectdirected",10.133,"1"
"92","127","RISK13","reaches","yes",12.967,30.2,0.36904926,0.63095074,31.44,49.11,"RISK","13",0.36904926,-17.67,3,"objectdirected",9.967,"1"
"93","129","RISK13","reaches","yes",12.633,32.2,0.38301045,0.61698955,14.91,24.36,"RISK","13",0.38301045,-9.45,5,"objectdirected",7.633,"1"
"94","130","RISK13","reaches","yes",13,30.2,0.497116,0.502884,23.27,23.54,"RISK","13",0.497116,-0.27,8,"objectdirected",5,"1"
"95","1","MR10","rolls","yes",10.06666667,13.5,0.47197043,0.52802957,53.63,60,"MR","10",0.52802957,6.37,6.75,"selflocomotion",3.31666667,"1"
"96","2","MR13","rolls","yes",12.93333333,17.5,0.4658405,0.5341595,52.326,60,"MR","13",0.5341595,7.674,3.2,"selflocomotion",9.73333333,"1"
"97","3","MR10","rolls","yes",10.06666667,13.2,0.814995563,0.185004437,31.229,7.089,"MR","10",0.185004437,-24.14,4.75,"selflocomotion",5.31666667,"1"
"98","4","MR13","rolls","yes",12.7,13.8,0.46488482,0.53511518,10.7665,12.393,"MR","13",0.53511518,1.6265,5,"selflocomotion",7.7,"1"
"99","5","MR13","rolls","yes",13.5,15.3,0.523095624,0.476904376,21.947,20.009,"MR","13",0.476904376,-1.938,5,"selflocomotion",8.5,"1"
"100","6","MR13","rolls","yes",13.1,14.5,0.487272727,0.512727273,22.78,23.97,"MR","13",0.512727273,1.19,4.1,"selflocomotion",9,"1"
"101","7","MR13","rolls","yes",12.7,14.5,0.494,0.506,16.796,17.204,"MR","13",0.506,0.408000000000001,7,"selflocomotion",5.7,"1"
"102","8","MR13","rolls","",12.96666667,15,0.315642661,0.684357339,18.071,39.18045,"MR","13",0.684357339,21.10945,NA,"selflocomotion",NA,NA
"103","10","MR13","rolls","yes",13.1,14.8,0.441306267,0.558693733,8.5,10.761,"MR","13",0.558693733,2.261,5,"selflocomotion",8.1,"1"
"104","13","MR10","rolls","yes",10.06666667,14,0.429761905,0.570238095,12.274,16.286,"MR","10",0.570238095,4.012,3.5,"selflocomotion",6.56666667,"1"
"105","14","MR13","rolls","yes",12.83333333,14,0.5,0.5,60,60,"MR","13",0.5,0,2,"selflocomotion",10.83333333,"1"
"106","15","MR10","rolls","yes",9.8,12.2,0.157411669,0.842588331,5.814,31.121,"MR","10",0.842588331,25.307,6,"selflocomotion",3.8,"1"
"107","18","MR10","rolls","yes",9.666666667,10.7,0.370714286,0.629285714,8.823,14.977,"MR","10",0.629285714,6.154,4.5,"selflocomotion",5.166666667,"1"
"108","19","MR10","rolls","yes",10.3,12.6,0.5,0.5,60,60,"MR","10",0.5,0,3.5,"selflocomotion",6.8,"1"
"109","21","MR10","rolls","yes",9.466666667,10.6,0.481642994,0.518357006,46.388,49.924,"MR","10",0.518357006,3.536,4,"selflocomotion",5.466666667,"1"
"110","22","MR10","rolls","yes",9.466666667,9.5,0.510416667,0.489583333,6.664,6.392,"MR","10",0.489583333,-0.271999999999999,5,"selflocomotion",4.466666667,"1"
"111","23","MR13","rolls","yes",12.73333333,12.7,0.381055489,0.618944511,24.99,40.591,"MR","13",0.618944511,15.601,5,"selflocomotion",7.73333333,"1"
"112","25","MR13","rolls","yes",12.56666667,12.6,0.603160667,0.396839333,11.679,7.684,"MR","13",0.396839333,-3.995,4,"selflocomotion",8.56666667,"1"
"113","26","MR13","rolls","yes",12.56666667,12.6,0.449341439,0.550658561,15.079,18.479,"MR","13",0.550658561,3.4,5,"selflocomotion",7.56666667,"1"
"114","27","MR13","rolls","yes",13,13,0.476331361,0.523668639,10.948,12.036,"MR","13",0.523668639,1.088,3,"selflocomotion",10,"1"
"115","28","MR10","rolls","yes",10.26666667,12.7,0.352201258,0.647798742,7.616,14.008,"MR","10",0.647798742,6.392,7,"selflocomotion",3.26666667,"1"
"116","29","MR10","rolls","yes",9.8,9.8,0.407671722,0.592328278,7.769,11.288,"MR","10",0.592328278,3.519,4,"selflocomotion",5.8,"1"
"117","30","MR10","rolls","yes",9.566666667,10.5,0.308854385,0.691145615,12.512,27.999,"MR","10",0.691145615,15.487,4,"selflocomotion",5.566666667,"1"
"118","31","MR13","rolls","yes",13,13,0.309934563,0.690065437,8.857,19.72,"MR","13",0.690065437,10.863,8,"selflocomotion",5,"1"
"119","32","MR13","rolls","no",13.4,13.4,0.642971795,0.357028205,47.668,26.469,"MR","13",0.357028205,-21.199,4,"selflocomotion",9.4,"0"
"120","33","MR10","rolls","yes",9.966666667,10,0.253170335,0.746829665,17.748,52.355,"MR","10",0.746829665,34.607,5.15,"selflocomotion",4.816666667,"1"
"121","34","MR10","rolls","yes",9.7,9.7,0.548733691,0.451266309,12.155,9.996,"MR","10",0.451266309,-2.159,3,"selflocomotion",6.7,"1"
"122","35","MR10","rolls","yes",10.06666667,10.1,0.522017045,0.477982955,12.495,11.441,"MR","10",0.477982955,-1.054,7,"selflocomotion",3.06666667,"1"
"123","36","MR10","rolls","yes",8.966666667,9.6,0.207333333,0.792666667,10.574,40.426,"MR","10",0.792666667,29.852,4,"selflocomotion",4.966666667,"1"
"124","37","MR13","rolls","yes",12.86666667,12.9,0.241610738,0.758389262,7.344,23.052,"MR","13",0.758389262,15.708,5.5,"selflocomotion",7.36666667,"1"
"125","38","MR13","rolls","yes",12.66666667,14.5,0.420596728,0.579403272,14.858,20.468,"MR","13",0.579403272,5.61,3.5,"selflocomotion",9.16666667,"1"
"126","39","MR10","rolls","yes",9.933333333,9.9,0.466238693,0.533761307,39.945,45.73,"MR","10",0.533761307,5.785,3,"selflocomotion",6.933333333,"1"
"127","40","MR10","rolls","yes",9.866666667,9.9,0.557995495,0.442004505,16.847,13.345,"MR","10",0.442004505,-3.502,8.13,"selflocomotion",1.73333333,"1"
"128","41","MR10","rolls","yes",9.833333333,9.8,0.567712171,0.432287829,35.44,26.986,"MR","10",0.432287829,-8.454,5,"selflocomotion",4.833333333,"1"
"129","42","MR13","rolls","yes",12.66666667,12.7,0.552287582,0.447712418,25.857,20.961,"MR","13",0.447712418,-4.896,6,"selflocomotion",6.66666667,"1"
"130","43","MR13","rolls","yes",13.43333333,13.4,0.453084648,0.546915352,26.843,32.402,"MR","13",0.546915352,5.559,3,"selflocomotion",10.43333333,"1"
"131","44","MR13","rolls","yes",12.76666667,12.8,0.407035176,0.592964824,17.901,26.078,"MR","13",0.592964824,8.177,5,"selflocomotion",7.76666667,"1"
"132","45","MR13","rolls","yes",12.63333333,12.6,0.589928058,0.410071942,19.516,13.566,"MR","13",0.410071942,-5.95,4,"selflocomotion",8.63333333,"1"
"133","46","MR13","rolls","yes",12.86666667,12.9,0.189333333,0.810666667,7.242,31.008,"MR","13",0.810666667,23.766,5,"selflocomotion",7.86666667,"1"
"134","47","MR13","rolls","yes",12.53333333,12.5,0.484787018,0.515212982,8.126,8.636,"MR","13",0.515212982,0.51,4,"selflocomotion",8.53333333,"1"
"135","48","MR10","rolls","yes",10.33333333,10.4,0.416793121,0.583206879,28.016,39.202,"MR","10",0.583206879,11.186,4,"selflocomotion",6.33333333,"1"
"136","49","MR13","rolls","yes",12.86666667,12.9,0.178016726,0.821983274,5.066,23.392,"MR","13",0.821983274,18.326,5,"selflocomotion",7.86666667,"1"
"137","50","MR10","rolls","yes",10.2,10.8,0.239370079,0.760629921,5.168,16.422,"MR","10",0.760629921,11.254,5,"selflocomotion",5.2,"1"
"138","51","MR13","rolls","yes",12.66666667,12.9,0.43060355,0.56939645,25.67,33.944,"MR","13",0.56939645,8.274,3,"selflocomotion",9.66666667,"1"
"139","52","MR10","rolls","yes",9.533333333,9.5,0.609964413,0.390035587,14.569,9.316,"MR","10",0.390035587,-5.253,4,"selflocomotion",5.533333333,"1"
"140","53","MR13","rolls","yes",13.06666667,13.1,0.558149919,0.441850081,60,47.498,"MR","13",0.441850081,-12.502,3,"selflocomotion",10.06666667,"1"
"141","54","MR10","rolls","yes",10.46666667,10.5,0.44750496,0.55249504,29.325,36.205,"MR","10",0.55249504,6.88,2.5,"selflocomotion",7.96666667,"1"
"142","55","MR10","rolls","yes",9.566666667,9.6,0.554878049,0.445121951,12.376,9.928,"MR","10",0.445121951,-2.448,3.37,"selflocomotion",6.196666667,"1"
"143","56","MR10","rolls","yes",10.3,10.3,0.445301543,0.554698457,10.795,13.447,"MR","10",0.554698457,2.652,4,"selflocomotion",6.3,"1"
"144","57","MR10","rolls","yes",10.4,10.3,0.690690691,0.309309309,19.55,8.755,"MR","10",0.309309309,-10.795,4,"selflocomotion",6.4,"1"
"145","58","MR10","rolls","yes",10.33333333,10.3,0.512152778,0.487847222,30.09,28.662,"MR","10",0.487847222,-1.428,5.5,"selflocomotion",4.83333333,"1"
"146","59","MR10","rolls","yes",9.866666667,9.9,0.645784996,0.354215004,14.195,7.786,"MR","10",0.354215004,-6.409,9,"selflocomotion",0.866666667000001,"1"
"147","60","MR10","rolls","yes",10.06666667,10.1,0.419681621,0.580318379,14.79,20.451,"MR","10",0.580318379,5.661,3,"selflocomotion",7.06666667,"1"
"148","61",NA,"rolls","yes",NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,3.5,"selflocomotion",NA,NA
"149","62",NA,"rolls","yes",NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,3.5,"selflocomotion",NA,NA
"150","63",NA,"rolls","yes",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"selflocomotion",NA,NA
"151","64",NA,"rolls","yes",NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"selflocomotion",NA,NA
"152","65",NA,"rolls","yes",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,5,"selflocomotion",NA,NA
"153","66",NA,"rolls","",NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"selflocomotion",NA,NA
"154","69","RISK10","rolls","yes",10.2667,22.1,0.62819482,0.37180518,19.54,11.57,"RISK","10",0.62819482,7.97,NA,"selflocomotion",NA,NA
"155","70","RISK10","rolls","yes",10.3667,22.5,0.62828536,0.37171464,10.04,5.94,"RISK","10",0.62828536,4.1,6,"selflocomotion",4.3667,"1"
"156","72","RISK10","rolls","yes",10.5333,22.3,0.48476229,0.51523771,11.93,12.68,"RISK","10",0.48476229,-0.75,4.07,"selflocomotion",6.4633,"1"
"157","73","RISK10","rolls","yes",10.0667,21.2,0.56094151,0.43905849,24.07,18.84,"RISK","10",0.56094151,5.23,4,"selflocomotion",6.0667,"1"
"158","74","RISK10","rolls","yes",9.7667,20.9,0.67677913,0.32322087,23.87,11.4,"RISK","10",0.67677913,12.47,4,"selflocomotion",5.7667,"1"
"159","77","RISK10","rolls","yes",10.6333,22.6,0.52951144,0.47048856,9.38,8.33,"RISK","10",0.52951144,1.05,5.5,"selflocomotion",5.1333,"1"
"160","78","RISK10","rolls","yes",10.0667,20.3,0.39440449,0.60559551,22.49,34.53,"RISK","10",0.39440449,-12.04,NA,"selflocomotion",NA,NA
"161","81","RISK10","rolls","yes",10.2333,20.4,0.61828069,0.38171931,14.78,9.13,"RISK","10",0.61828069,5.65,6,"selflocomotion",4.2333,"1"
"162","82","RISK10","rolls","yes",9.6,20.3,0.60326531,0.39673469,11.09,7.29,"RISK","10",0.60326531,3.8,4,"selflocomotion",5.6,"1"
"163","87","RISK10","rolls","yes",9.6333,20.2,0.75194565,0.24805435,30.44,10.04,"RISK","10",0.75194565,20.4,5,"selflocomotion",4.6333,"1"
"164","88","RISK10","rolls","yes",10.4667,20.5,0.55365517,0.44634483,20.07,16.18,"RISK","10",0.55365517,3.89,5,"selflocomotion",5.4667,"1"
"165","91","RISK10","rolls","yes",10.233,19.2,0.19541328,0.80458672,4.09,16.84,"RISK","10",0.19541328,-12.75,5.97,"selflocomotion",4.263,"1"
"166","92","RISK10","rolls","yes",10.0333,21.6,0.54316912,0.45683088,21.39,17.99,"RISK","10",0.54316912,3.4,6,"selflocomotion",4.0333,"1"
"167","93","RISK10","rolls","yes",10.3,19.2,0.54578474,0.45421526,14.28,11.88,"RISK","10",0.54578474,2.4,4.8,"selflocomotion",5.5,"1"
"168","94","RISK10","rolls","yes",9.7333,18,0.40696943,0.59303057,16.18,23.57,"RISK","10",0.40696943,-7.39,2,"selflocomotion",7.7333,"1"
"169","96","RISK10","rolls","yes",10.4,22.7,0.40508744,0.59491256,6.37,9.36,"RISK","10",0.40508744,-2.99,NA,"selflocomotion",NA,NA
"170","97","RISK10","rolls","yes",9.8333,18.8,0.53763099,0.46236901,42.33,36.4,"RISK","10",0.53763099,5.93,4,"selflocomotion",5.8333,"1"
"171","98","RISK10","rolls","yes",10.5667,18.9,0.66953077,0.33046923,60,29.62,"RISK","10",0.66953077,30.38,4,"selflocomotion",6.5667,"1"
"172","100","RISK13","rolls","yes",13.4,33.7,0.63946188,0.36053812,14.26,8.04,"RISK","13",0.63946188,6.22,3,"selflocomotion",10.4,"1"
