"","subj","experiment.x","age.at.study","age.at.survey","prop.lower","prop.higher","avg.lower","avg.higher","crawls","cruises","fearheights","handtohand","hiddensearch","pincer","points","pullstand","reaches","rolls","sits","stands","strangerdanger","walks","waves","exp","agegroup","looking.to.unexp","LTdiff"
"26","26","MR13",12.56666667,12.6,0.449341439,0.550658561,15.079,18.479,6.5,10.5,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9,9.09294871794872,4.27025641025641,5,6.15823529411765,10.6788059701493,11,12.0907142857143,11.5,"MR","13",0.550658561,3.4
"27","27","MR13",13,13,0.476331361,0.523668639,10.948,12.036,10,10,11,5,9,10,12,10.5,1,3,7.5,10.6788059701493,9,12.0907142857143,12,"MR","13",0.523668639,1.088
"28","28","MR10",10.26666667,12.7,0.352201258,0.647798742,7.616,14.008,6,9,11,8,8,10,9,7,8,7,8,11,8,12,7,"MR","10",0.647798742,6.392
"29","29","MR10",9.8,9.8,0.407671722,0.592328278,7.769,11.288,9,10.1546835443038,11.0344827586207,6,7,7,9,9,2,4,5,10.6788059701493,6,12.0907142857143,7,"MR","10",0.592328278,3.519
"30","30","MR10",9.566666667,10.5,0.308854385,0.691145615,12.512,27.999,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,7,9,9.95285714285714,9.09294871794872,3.5,4,6,10.6788059701493,5,12.0907142857143,9.61527777777778,"MR","10",0.691145615,15.487
"31","31","MR13",13,13,0.309934563,0.690065437,8.857,19.72,8,10,11.0344827586207,8,10,12,11,11,6,8,7,10,11,10,10,"MR","13",0.690065437,10.863
"32","32","MR13",13.4,13.4,0.642971795,0.357028205,47.668,26.469,11,11,9,12,11,7,8,10,5,4,7,10.6788059701493,10,12.0907142857143,9,"MR","13",0.357028205,-21.199
"33","33","MR10",9.966666667,10,0.253170335,0.746829665,17.748,52.355,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9,8.4372602739726,9.95285714285714,9.09294871794872,4.15,5.15,7.15,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"MR","10",0.746829665,34.607
"34","34","MR10",9.7,9.7,0.548733691,0.451266309,12.155,9.996,7,9,11.0344827586207,8,7,8,9,9,4,3,6,10.6788059701493,9,12.0907142857143,9,"MR","10",0.451266309,-2.159
"35","35","MR10",10.06666667,10.1,0.522017045,0.477982955,12.495,11.441,9,10,11.0344827586207,8,9,5,9,9,4,7,7,10.6788059701493,8.89421052631579,12.0907142857143,6,"MR","10",0.477982955,-1.054
"36","36","MR10",8.966666667,9.6,0.207333333,0.792666667,10.574,40.426,8,9,8,6.89676470588235,7,8.4372602739726,9,8.5,6,4,5.5,10.6788059701493,7,12.0907142857143,9,"MR","10",0.792666667,29.852
"37","37","MR13",12.86666667,12.9,0.241610738,0.758389262,7.344,23.052,9,11,12,6.89676470588235,8,8,11,10.5,3,5.5,6.5,12,8.89421052631579,12.0907142857143,10,"MR","13",0.758389262,15.708
"38","38","MR13",12.66666667,14.5,0.420596728,0.579403272,14.858,20.468,6,9,10,4.5,8,6,8,8,2.5,3.5,7,8,8.89421052631579,11,8,"MR","13",0.579403272,5.61
"39","39","MR10",9.933333333,9.9,0.466238693,0.533761307,39.945,45.73,8.308375,10,11.0344827586207,4,9,8,9.95285714285714,9.09294871794872,4,3,6,10,9,12.0907142857143,9.61527777777778,"MR","10",0.533761307,5.785
"40","40","MR10",9.866666667,9.9,0.557995495,0.442004505,16.847,13.345,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.5,7.5,9,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,9.75,8.89421052631579,12.0907142857143,9,"MR","10",0.442004505,-3.502
"41","41","MR10",9.833333333,9.8,0.567712171,0.432287829,35.44,26.986,8,10.1546835443038,11.0344827586207,8,9.25785714285714,8,9.95285714285714,8,6,5,6,10.6788059701493,9,12.0907142857143,9,"MR","10",0.432287829,-8.454
"42","42","MR13",12.66666667,12.7,0.552287582,0.447712418,25.857,20.961,7,11,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,11,10,5,6,7,11,8.89421052631579,12,9,"MR","13",0.447712418,-4.896
"43","43","MR13",13.43333333,13.4,0.453084648,0.546915352,26.843,32.402,8,11,11,9,8,8,6,9,6,3,4,11,8,13,6,"MR","13",0.546915352,5.559
"44","44","MR13",12.76666667,12.8,0.407035176,0.592964824,17.901,26.078,7,9.5,11.0344827586207,6,8,8,11,8,3,5,6,9,10,10,6,"MR","13",0.592964824,8.177
"45","45","MR13",12.63333333,12.6,0.589928058,0.410071942,19.516,13.566,11.5,11.5,11.0344827586207,4,8,5,9,10.5,3.1,4,5,10.6788059701493,3.2,12.0907142857143,11,"MR","13",0.410071942,-5.95
"46","46","MR13",12.86666667,12.9,0.189333333,0.810666667,7.242,31.008,7,10.5,11.0344827586207,6,9.25785714285714,7,6,8,6,5,6,10,8.89421052631579,12,6,"MR","13",0.810666667,23.766
"47","47","MR13",12.53333333,12.5,0.484787018,0.515212982,8.126,8.636,10,11.5,11.0344827586207,10,7,8,10,11,6,4,6,11.5,11.5,12,8,"MR","13",0.515212982,0.51
"48","48","MR10",10.33333333,10.4,0.416793121,0.583206879,28.016,39.202,6,7,9,7,8,7,9,7,5,4,5,10,6,12.0907142857143,9,"MR","10",0.583206879,11.186
"49","49","MR13",12.86666667,12.9,0.178016726,0.821983274,5.066,23.392,9,9,11.0344827586207,4,8,7,10,7,3,5,6,8.5,7,10,12,"MR","13",0.821983274,18.326
"50","50","MR10",10.2,10.8,0.239370079,0.760629921,5.168,16.422,8,10.5,11.0344827586207,5,10,10,9,9,4,5,6.5,10.6788059701493,9,12.0907142857143,10,"MR","10",0.760629921,11.254
