subj,experiment.orig,experiment.paper,experiment.new,trial,orig.look,trialn,secondary.look,coder
16-MR,MR13,Exp2,min.peril.13,test4,34.544,4,33.864,Caitlin
20-MR,MR13,Exp2,min.peril.13,test1,18.496,1,17.918,Caitlin
20-MR,MR13,Exp2,min.peril.13,test2,6.22,2,6.222,Caitlin
20-MR,MR13,Exp2,min.peril.13,test3,13.532,3,13.566,Caitlin
20-MR,MR13,Exp2,min.peril.13,test4,4.216,4,3.094,Caitlin
25-MR,MR13,Exp2,min.peril.13,test1,15.47,1,15.266,Caitlin
25-MR,MR13,Exp2,min.peril.13,test2,2.686,2,2.006,Caitlin
25-MR,MR13,Exp2,min.peril.13,test3,7.888,3,8.024,Caitlin
25-MR,MR13,Exp2,min.peril.13,test4,7.684,4,7.99,Caitlin
26-MR,MR13,Exp2,min.peril.13,test1,14.382,1,16.32,Caitlin
26-MR,MR13,Exp2,min.peril.13,test2,18.802,2,18.802,Caitlin
26-MR,MR13,Exp2,min.peril.13,test3,15.776,3,15.776,Caitlin
26-MR,MR13,Exp2,min.peril.13,test4,18.156,4,18.19,Caitlin
27-MR,MR13,Exp2,min.peril.13,test1,11.594,1,11.662,Caitlin
27-MR,MR13,Exp2,min.peril.13,test2,11.288,2,11.322,Caitlin
27-MR,MR13,Exp2,min.peril.13,test3,10.302,3,10.336,Caitlin
27-MR,MR13,Exp2,min.peril.13,test4,12.784,4,14.008,Caitlin
40-MR,MR13,Exp2,min.peril.13,test1,20.468,1,19.584,Caitlin
40-MR,MR13,Exp2,min.peril.13,test2,18.054,2,16.286,Caitlin
40-MR,MR13,Exp2,min.peril.13,test3,4.42,3,4.454,Caitlin
40-MR,MR13,Exp2,min.peril.13,test4,11.662,4,8.534,Caitlin
45-MR,MR13,Exp2,min.peril.13,test1,54.094,1,54.094,Caitlin
45-MR,MR13,Exp2,min.peril.13,test2,29.478,2,29.852,Caitlin
45-MR,MR13,Exp2,min.peril.13,test3,10.71,3,10.71,Caitlin
45-MR,MR13,Exp2,min.peril.13,test4,24.208,4,25.055,Caitlin
49-MR,MR13,Exp2,min.peril.13,test1,2.652,1,2.754,Caitlin
49-MR,MR13,Exp2,min.peril.13,test2,2.618,2,2.584,Caitlin
49-MR,MR13,Exp2,min.peril.13,test3,7.242,3,7.072,Caitlin
49-MR,MR13,Exp2,min.peril.13,test4,31.008,4,33.626,Caitlin
50-MR,MR13,Exp2,min.peril.13,test1,8.126,1,7.99,Caitlin
50-MR,MR13,Exp2,min.peril.13,test2,8.636,2,8.636,Caitlin
50-MR,MR13,Exp2,min.peril.13,test3,3.706,3,3.706,Caitlin
50-MR,MR13,Exp2,min.peril.13,test4,2.142,4,2.074,Caitlin
57-MR,MR13,Exp2,min.peril.13,test1,60,1,60,Caitlin
57-MR,MR13,Exp2,min.peril.13,test2,43.282,2,43.384,Caitlin
57-MR,MR13,Exp2,min.peril.13,test3,7.888,3,7.956,Caitlin
57-MR,MR13,Exp2,min.peril.13,test4,8.058,4,8.058,Caitlin
59-MR,MR13,Exp2,min.peril.13,test1,60,1,58.344,Caitlin
59-MR,MR13,Exp2,min.peril.13,test2,46.172,2,45.254,Caitlin
59-MR,MR13,Exp2,min.peril.13,test3,60,3,57.528,Caitlin
59-MR,MR13,Exp2,min.peril.13,test4,48.824,4,49.232,Caitlin
S4_1,RISK,Exp1,infer.value.13,test1,37.08,1,37.095,Yuman
S4_1,RISK,Exp1,infer.value.13,test2,23.92,2,24.042,Yuman
S4_1,RISK,Exp1,infer.value.13,test3,NA,3,NA,Yuman
S4_1,RISK,Exp1,infer.value.13,test4,NA,4,NA,Yuman
S4_11,RISK,Exp1,infer.value.13,test1,13.99,1,13.804,Caitlin
S4_11,RISK,Exp1,infer.value.13,test2,7.04,2,6.732,Caitlin
S4_11,RISK,Exp1,infer.value.13,test3,14.93,3,15.13,Caitlin
S4_11,RISK,Exp1,infer.value.13,test4,23.03,4,22.882,Caitlin
S4_12,RISK,Exp1,infer.value.13,test1,12.47,1,12.276,Caitlin
S4_12,RISK,Exp1,infer.value.13,test2,4.01,2,5.066,Caitlin
S4_12,RISK,Exp1,infer.value.13,test3,13.16,3,12.988,Caitlin
S4_12,RISK,Exp1,infer.value.13,test4,3.41,4,5.44,Caitlin
S4_13,RISK,Exp1,infer.value.13,test1,32.23,1,31.314,Caitlin
S4_13,RISK,Exp1,infer.value.13,test2,14.2,2,12.614,Caitlin
S4_13,RISK,Exp1,infer.value.13,test3,10.78,3,24.072,Caitlin
S4_13,RISK,Exp1,infer.value.13,test4,29.55,4,34.51,Caitlin
S4_16,RISK,Exp1,infer.value.13,test1,28.52,1,27.88,Caitlin
S4_16,RISK,Exp1,infer.value.13,test2,14.68,2,13.348,Caitlin
S4_16,RISK,Exp1,infer.value.13,test3,38.52,3,37.808,Caitlin
S4_16,RISK,Exp1,infer.value.13,test4,3.43,4,3.06,Caitlin
S4_19,RISK,Exp1,infer.value.13,test1,54.08,1,55.046,Caitlin
S4_19,RISK,Exp1,infer.value.13,test2,22.14,2,23.8,Caitlin
S4_19,RISK,Exp1,infer.value.13,test3,20.77,3,20.944,Caitlin
S4_19,RISK,Exp1,infer.value.13,test4,19.93,4,18.602,Caitlin
S4_20,RISK,Exp1,infer.value.13,test1,35.18,1,34.306,Caitlin
S4_20,RISK,Exp1,infer.value.13,test2,23.23,2,22.712,Caitlin
S4_20,RISK,Exp1,infer.value.13,test3,20.43,3,18.7,Caitlin
S4_20,RISK,Exp1,infer.value.13,test4,8.01,4,6.834,Caitlin
S4_21,RISK,Exp1,infer.value.13,test1,13.4,1,13.43,Caitlin
S4_21,RISK,Exp1,infer.value.13,test2,10.34,2,9.894,Caitlin
S4_21,RISK,Exp1,infer.value.13,test3,NA,3,6.596,Caitlin
S4_21,RISK,Exp1,infer.value.13,test4,NA,4,2.346,Caitlin
S4_22,RISK,Exp1,infer.value.13,test1,7.2,1,5.712,Caitlin
S4_22,RISK,Exp1,infer.value.13,test2,14.34,2,16.694,Caitlin
S4_22,RISK,Exp1,infer.value.13,test3,NA,3,12.988,Caitlin
S4_22,RISK,Exp1,infer.value.13,test4,NA,4,5.576,Caitlin
S4_23,RISK,Exp1,infer.value.13,test1,60,1,58.276,Caitlin
S4_23,RISK,Exp1,infer.value.13,test2,40.88,2,38.896,Caitlin
S4_23,RISK,Exp1,infer.value.13,test3,11.38,3,11.866,Caitlin
S4_23,RISK,Exp1,infer.value.13,test4,60,4,60,Caitlin
S4_26,RISK,Exp1,infer.value.13,test1,16.71,1,7.548,Yuman
S4_26,RISK,Exp1,infer.value.13,test2,6.73,2,6.086,Yuman
S4_26,RISK,Exp1,infer.value.13,test3,9.6,3,9.316,Yuman
S4_26,RISK,Exp1,infer.value.13,test4,17.75,4,2.312,Yuman
S4_27,RISK,Exp1,infer.value.13,test1,5.18,1,4.76,Yuman
S4_27,RISK,Exp1,infer.value.13,test2,7.87,2,7.548,Yuman
S4_27,RISK,Exp1,infer.value.13,test3,11.78,3,11.255,Yuman
S4_27,RISK,Exp1,infer.value.13,test4,11.77,4,29.58,Yuman
S4_29,RISK,Exp1,infer.value.13,test1,11.49,1,10.642,Yuman
S4_29,RISK,Exp1,infer.value.13,test2,18.21,2,21.251,Yuman
S4_29,RISK,Exp1,infer.value.13,test3,27.29,3,28.664,Yuman
S4_29,RISK,Exp1,infer.value.13,test4,23.61,4,22.713,Yuman
S4_31,RISK,Exp1,infer.value.13,test1,60,1,60,Yuman
S4_31,RISK,Exp1,infer.value.13,test2,59.6,2,58.009,Yuman
S4_31,RISK,Exp1,infer.value.13,test3,45.18,3,44.135,Yuman
S4_31,RISK,Exp1,infer.value.13,test4,12.32,4,12.581,Yuman
S4_4,RISK,Exp1,infer.value.13,test1,37.69,1,37.674,Yuman
S4_4,RISK,Exp1,infer.value.13,test2,15.09,2,14.452,Yuman
S4_4,RISK,Exp1,infer.value.13,test3,7.55,3,6.834,Yuman
S4_4,RISK,Exp1,infer.value.13,test4,6.96,4,6.698,Yuman
S4_5,RISK,Exp1,infer.value.13,test1,9.44,1,7.548,Yuman
S4_5,RISK,Exp1,infer.value.13,test2,51.73,2,47.124,Yuman
S4_5,RISK,Exp1,infer.value.13,test3,7.74,3,7.244,Yuman
S4_5,RISK,Exp1,infer.value.13,test4,8.13,4,7.651,Yuman
S5_1,RISKr,Exp4.Study1,infer.value.13,test1,24.94,1,27.374,Yuman
S5_1,RISKr,Exp4.Study1,infer.value.10,test2,13.03,2,12.887,Yuman
S5_1,RISKr,Exp4.Study1,infer.value.10,test3,7.44,3,6.698,Yuman
S5_1,RISKr,Exp4.Study1,infer.value.10,test4,9.08,4,7.208,Yuman
S5_10,RISKr,Exp4.Study1,infer.value.10,test1,45.55,1,49.439,Yuman
S5_10,RISKr,Exp4.Study1,infer.value.10,test2,8.28,2,7.106,Yuman
S5_10,RISKr,Exp4.Study1,infer.value.10,test3,13.88,3,23.907,Yuman
S5_10,RISKr,Exp4.Study1,infer.value.10,test4,13.26,4,10.846,Yuman
S5_11,RISKr,Exp4.Study1,infer.value.10,test1,11.97,1,11.833,Yuman
S5_11,RISKr,Exp4.Study1,infer.value.10,test2,9.93,2,12.074,Yuman
S5_11,RISKr,Exp4.Study1,infer.value.10,test3,6.78,3,6.732,Yuman
S5_11,RISKr,Exp4.Study1,infer.value.10,test4,6.73,4,6.596,Yuman
S5_12,RISKr,Exp4.Study1,infer.value.10,test1,37.1,1,36.958,Yuman
S5_12,RISKr,Exp4.Study1,infer.value.10,test2,24.34,2,24.752,Yuman
S5_12,RISKr,Exp4.Study1,infer.value.10,test3,7.87,3,7.99,Yuman
S5_12,RISKr,Exp4.Study1,infer.value.10,test4,44.71,4,46.48,Yuman
S5_19,RISKr,Exp4.Study1,infer.value.10,test1,60,1,60,Yuman
S5_19,RISKr,Exp4.Study1,infer.value.10,test2,26.16,2,25.773,Yuman
S5_19,RISKr,Exp4.Study1,infer.value.10,test3,35.51,3,35.497,Yuman
S5_19,RISKr,Exp4.Study1,infer.value.10,test4,12.48,4,12.58,Yuman
S5_2,RISKr,Exp4.Study1,infer.value.10,test1,34.62,1,35.567,Yuman
S5_2,RISKr,Exp4.Study1,infer.value.10,test2,41.24,2,40.43,Yuman
S5_2,RISKr,Exp4.Study1,infer.value.10,test3,14.73,3,14.556,Yuman
S5_2,RISKr,Exp4.Study1,infer.value.10,test4,28.74,4,28.63,Yuman
S5_20,RISKr,Exp4.Study1,infer.value.10,test1,25.47,1,25.296,Yuman
S5_20,RISKr,Exp4.Study1,infer.value.10,test2,8.33,2,7.494,Yuman
S5_20,RISKr,Exp4.Study1,infer.value.10,test3,6.91,3,6.8,Yuman
S5_20,RISKr,Exp4.Study1,infer.value.10,test4,6.98,4,7.004,Yuman
S5_29,RISKr,Exp4.Study1,infer.value.10,test1,28.38,1,29.172,Yuman
S5_29,RISKr,Exp4.Study1,infer.value.10,test2,15.62,2,16.151,Yuman
S5_29,RISKr,Exp4.Study1,infer.value.10,test3,16.46,3,17.716,Yuman
S5_29,RISKr,Exp4.Study1,infer.value.10,test4,4.27,4,4.42,Yuman
S5_3,RISKr,Exp4.Study1,infer.value.10,test1,15.31,1,15.097,Yuman
S5_3,RISKr,Exp4.Study1,infer.value.10,test2,33.44,2,31.997,Yuman
S5_3,RISKr,Exp4.Study1,infer.value.10,test3,7.82,3,7.786,Yuman
S5_3,RISKr,Exp4.Study1,infer.value.10,test4,5.64,4,5.202,Yuman
S5_30,RISKr,Exp4.Study1,infer.value.10,test1,9.32,1,9.045,Yuman
S5_30,RISKr,Exp4.Study1,infer.value.10,test2,5.42,2,5.44,Yuman
S5_30,RISKr,Exp4.Study1,infer.value.10,test3,3.42,3,3.197,Yuman
S5_30,RISKr,Exp4.Study1,infer.value.10,test4,13.29,4,13.33,Yuman
S5_31,RISKr,Exp4.Study1,infer.value.10,test1,24.65,1,24.243,Yuman
S5_31,RISKr,Exp4.Study1,infer.value.10,test2,60,2,60,Yuman
S5_31,RISKr,Exp4.Study1,infer.value.10,test3,60,3,60,Yuman
S5_31,RISKr,Exp4.Study1,infer.value.10,test4,12.8,4,12.512,Yuman
S5_32,RISKr,Exp4.Study1,infer.value.10,test1,39.41,1,39.68,Yuman
S5_32,RISKr,Exp4.Study1,infer.value.10,test2,60,2,60,Yuman
S5_32,RISKr,Exp4.Study1,infer.value.10,test3,19.82,3,19.516,Yuman
S5_32,RISKr,Exp4.Study1,infer.value.10,test4,60,4,60,Yuman
S5_4,RISKr,Exp4.Study1,infer.value.10,test1,13.29,1,12.684,Yuman
S5_4,RISKr,Exp4.Study1,infer.value.10,test2,8.58,2,8.364,Yuman
S5_4,RISKr,Exp4.Study1,infer.value.10,test3,6.79,3,6.189,Yuman
S5_4,RISKr,Exp4.Study1,infer.value.10,test4,3.3,4,2.585,Yuman
S5_7,RISKr,Exp4.Study1,infer.value.10,test1,35.42,1,35.361,Yuman
S5_7,RISKr,Exp4.Study1,infer.value.10,test2,17.34,2,17.444,Yuman
S5_7,RISKr,Exp4.Study1,infer.value.10,test3,12.72,3,12.922,Yuman
S5_7,RISKr,Exp4.Study1,infer.value.10,test4,20.34,4,23.766,Yuman
S5_9,RISKr,Exp4.Study1,infer.value.10,test1,7.58,1,7.344,Yuman
S5_9,RISKr,Exp4.Study1,infer.value.10,test2,35.76,2,33.355,Yuman
S5_9,RISKr,Exp4.Study1,infer.value.10,test3,7.67,3,7.616,Yuman
S5_9,RISKr,Exp4.Study1,infer.value.10,test4,13.08,4,12.886,Yuman
2,MR2,Exp3,min.peril.online.13,test1,21.89,1,21.886,Melyssa
2,MR2,Exp3,min.peril.online.13,test2,32.62,2,32.81,Melyssa
2,MR2,Exp3,min.peril.online.13,test3,29.078,3,30.566,Melyssa
2,MR2,Exp3,min.peril.online.13,test4,14.26,4,14.26,Melyssa
5,MR2,Exp3,min.peril.online.13,test1,9.61,1,21.74,Melyssa
5,MR2,Exp3,min.peril.online.13,test2,9.61,2,9.672,Melyssa
5,MR2,Exp3,min.peril.online.13,test3,10.106,3,9.672,Melyssa
5,MR2,Exp3,min.peril.online.13,test4,10.726,4,11.222,Melyssa
7,MR2,Exp3,min.peril.online.13,test1,14.12,1,14.99,Melyssa
7,MR2,Exp3,min.peril.online.13,test2,20.06,2,24.721,Melyssa
7,MR2,Exp3,min.peril.online.13,test3,8.68,3,8.676,Melyssa
7,MR2,Exp3,min.peril.online.13,test4,24.29,4,24.961,Melyssa
8,MR2,Exp3,min.peril.online.13,test1,17.24,1,24.614,Melyssa
8,MR2,Exp3,min.peril.online.13,test2,26.85,2,26.846,Melyssa
8,MR2,Exp3,min.peril.online.13,test3,10.04,3,10.044,Melyssa
8,MR2,Exp3,min.peril.online.13,test4,7.63,4,7.688,Melyssa
9,MR2,Exp3,min.peril.online.13,test1,21.05,1,26.04,Melyssa
9,MR2,Exp3,min.peril.online.13,test2,27.03,2,36.518,Melyssa
9,MR2,Exp3,min.peril.online.13,test3,49.97,3,49.972,Melyssa
9,MR2,Exp3,min.peril.online.13,test4,15.07,4,15.066,Melyssa
11,MR2,Exp3,min.peril.online.13,test1,36.92,1,37.324,Melyssa
11,MR2,Exp3,min.peril.online.13,test2,54.23,2,56.528,Melyssa
11,MR2,Exp3,min.peril.online.13,test3,36.52,3,37.138,Melyssa
11,MR2,Exp3,min.peril.online.13,test4,23.44,4,23.436,Melyssa
13,MR2,Exp3,min.peril.online.13,test1,7.35,1,7.75,Melyssa
13,MR2,Exp3,min.peril.online.13,test2,8.12,2,8.06,Melyssa
13,MR2,Exp3,min.peril.online.13,test3,7.87,3,7.874,Melyssa
13,MR2,Exp3,min.peril.online.13,test4,6.57,4,6.572,Melyssa
14,MR2,Exp3,min.peril.online.13,test1,21.95,1,21.948,Melyssa
14,MR2,Exp3,min.peril.online.13,test2,8.06,2,8.06,Melyssa
14,MR2,Exp3,min.peril.online.13,test3,12.958,3,15.438,Melyssa
14,MR2,Exp3,min.peril.online.13,test4,2.232,4,2.108,Melyssa
17,MR2,Exp3,min.peril.online.13,test1,32.86,1,34.202,Melyssa
17,MR2,Exp3,min.peril.online.13,test2,32.86,2,32.364,Melyssa
17,MR2,Exp3,min.peril.online.13,test3,18.538,3,18.538,Melyssa
17,MR2,Exp3,min.peril.online.13,test4,NA,4,NA,Melyssa
18,MR2,Exp3,min.peril.online.13,test1,21.61,1,37.262,Melyssa
18,MR2,Exp3,min.peril.online.13,test2,15.62,2,15.19,Melyssa
18,MR2,Exp3,min.peril.online.13,test3,6.88,3,6.882,Melyssa
18,MR2,Exp3,min.peril.online.13,test4,7.01,4,7.006,Melyssa
22,MR2,Exp3,min.peril.online.13,test1,13.58,1,18.538,Melyssa
22,MR2,Exp3,min.peril.online.13,test2,11.22,2,11.222,Melyssa
22,MR2,Exp3,min.peril.online.13,test3,8.06,3,8.06,Melyssa
22,MR2,Exp3,min.peril.online.13,test4,8.18,4,6.82,Melyssa
23,MR2,Exp3,min.peril.online.13,test1,17.27,1,10.788,Melyssa
23,MR2,Exp3,min.peril.online.13,test2,31.81,2,37.386,Melyssa
23,MR2,Exp3,min.peril.online.13,test3,23.75,3,23.684,Melyssa
23,MR2,Exp3,min.peril.online.13,test4,14.57,4,26.102,Melyssa
26,MR2,Exp3,min.peril.online.13,test1,13.33,1,8.494,Melyssa
26,MR2,Exp3,min.peril.online.13,test2,59.008,2,60,Melyssa
26,MR2,Exp3,min.peril.online.13,test3,13.33,3,13.33,Melyssa
26,MR2,Exp3,min.peril.online.13,test4,12.34,4,12.958,Melyssa
27,MR2,Exp3,min.peril.online.13,test1,11.87,1,14.322,Melyssa
27,MR2,Exp3,min.peril.online.13,test2,8,2,8.06,Melyssa
27,MR2,Exp3,min.peril.online.13,test3,9.42,3,9.424,Melyssa
27,MR2,Exp3,min.peril.online.13,test4,6.57,4,6.696,Melyssa
30,MR2,Exp3,min.peril.online.13,test1,20.37,1,27.094,Melyssa
30,MR2,Exp3,min.peril.online.13,test2,15.25,2,16.616,Melyssa
30,MR2,Exp3,min.peril.online.13,test3,13.64,3,13.702,Melyssa
30,MR2,Exp3,min.peril.online.13,test4,37.7,4,37.758,Melyssa
31,MR2,Exp3,min.peril.online.13,test1,17.14,1,18.662,Melyssa
31,MR2,Exp3,min.peril.online.13,test2,25.3,2,25.42,Melyssa
31,MR2,Exp3,min.peril.online.13,test3,15.62,3,15.624,Melyssa
31,MR2,Exp3,min.peril.online.13,test4,22.38,4,21.762,Melyssa
33,MR2,Exp3,min.peril.online.13,test1,17.7,1,20.894,Melyssa
33,MR2,Exp3,min.peril.online.13,test2,25.42,2,25.296,Melyssa
33,MR2,Exp3,min.peril.online.13,test3,43.46,3,42.966,Melyssa
33,MR2,Exp3,min.peril.online.13,test4,9.98,4,9.982,Melyssa
35,MR2,Exp3,min.peril.online.13,test1,11.59,1,15.128,Melyssa
35,MR2,Exp3,min.peril.online.13,test2,7.81,2,7.812,Melyssa
35,MR2,Exp3,min.peril.online.13,test3,8.06,3,8.06,Melyssa
35,MR2,Exp3,min.peril.online.13,test4,11.9,4,12.648,Melyssa
36,MR2,Exp3,min.peril.online.13,test1,13.7,1,10.912,Melyssa
36,MR2,Exp3,min.peril.online.13,test2,NA,2,NA,Melyssa
36,MR2,Exp3,min.peril.online.13,test3,24.8,3,24.924,Melyssa
36,MR2,Exp3,min.peril.online.13,test4,13.7,4,13.578,Melyssa
39,MR2,Exp3,min.peril.online.13,test1,13.61,1,19.654,Melyssa
39,MR2,Exp3,min.peril.online.13,test2,6.82,2,6.82,Melyssa
39,MR2,Exp3,min.peril.online.13,test3,7.56,3,7.564,Melyssa
39,MR2,Exp3,min.peril.online.13,test4,28.71,4,28.706,Melyssa
42,MR2,Exp3,min.peril.online.13,test1,10.79,1,10.726,Melyssa
42,MR2,Exp3,min.peril.online.13,test2,15.44,2,19.096,Melyssa
42,MR2,Exp3,min.peril.online.13,test3,10.726,3,10.664,Melyssa
42,MR2,Exp3,min.peril.online.13,test4,16.12,4,20.026,Melyssa
10m_1,MR3,Exp4.Study3,min.peril.online.10,test1,6.138,1,6.138,Melyssa
10m_1,MR3,Exp4.Study3,min.peril.online.10,test2,9.362,2,9.362,Melyssa
10m_1,MR3,Exp4.Study3,min.peril.online.10,test3,10.478,3,10.416,Melyssa
10m_1,MR3,Exp4.Study3,min.peril.online.10,test4,2.79,4,3.1,Melyssa
10m_5,MR3,Exp4.Study3,min.peril.online.10,test1,7.75,1,7.75,Melyssa
10m_5,MR3,Exp4.Study3,min.peril.online.10,test2,46.128,2,46.19,Melyssa
10m_5,MR3,Exp4.Study3,min.peril.online.10,test3,32.116,3,32.054,Melyssa
10m_5,MR3,Exp4.Study3,min.peril.online.10,test4,15.004,4,15.066,Melyssa
10m_9,MR3,Exp4.Study3,min.peril.online.10,test1,14.756,1,14.694,Melyssa
10m_9,MR3,Exp4.Study3,min.peril.online.10,test2,30.814,2,8.866,Melyssa
10m_9,MR3,Exp4.Study3,min.peril.online.10,test3,NA,3,NA,Melyssa
10m_9,MR3,Exp4.Study3,min.peril.online.10,test4,NA,4,NA,Melyssa
