,reliability,sex,subj,agem,experiment,exp,cost,video_quality,audio_quality,device,highchair,HV_side,first_test,first_fam,first_test_deeper_side,control_deeper_side,control_firstevent,control_1,control_2,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,testavg_lower,testavg_higher,lower1,lower2,higher1,higher2,control_shallow,control_deep
,0,f,S4_17,12.567,RISK13,Exp.1,Risk,,,,,right,HV,HL,,,,,,60,60,3.6,19.4,3.7,3.7,25.62,18.54,7.83,4.65,25.07,150.4,11.6,16.73,18.54,4.65,25.62,7.83,,
,0,m,S4_18,12.567,RISK13,Exp.1,Risk,,,,,left,HV,HL,,,,,,60,7.4,47.7,15.5,8.2,5.1,15.54,12.56,7.33,8.21,23.98,143.9,10.39,11.44,12.56,8.21,15.54,7.33,,
,1,m,S4_19,12.567,RISK13,Exp.1,Risk,,,,,left,HV,HL,,,,,,60,60,60,38.6,31.6,21.7,54.08,22.14,20.77,19.93,45.32,271.9,21.04,37.43,22.14,19.93,54.08,20.77,,
,0,f,S4_2,13.467,RISK13,Exp.1,Risk,,,,,left,LV,HL,,,,,,34,15.4,3.8,15.6,23.1,12,16.96,6.85,14.46,22.82,17.32,103.9,15.71,14.84,16.96,14.46,6.85,22.82,,
,1,f,S4_20,13.233,RISK13,Exp.1,Risk,,,,,right,HV,HL,,,,,,60,30.2,12.1,19,9.4,2.1,35.18,23.23,20.43,8.01,22.13,132.8,15.62,27.81,23.23,8.01,35.18,20.43,,
,1,m,S4_21,12.767,RISK13,Exp.1,Risk,,,,,right,LV,HL,,,,,,60,43,15.4,6.6,27.3,3.9,13.4,10.34,NA,NA,26.03,156.2,13.4,10.34,13.4,NA,10.34,NA,,
,1,m,S4_22,12.767,RISK13,Exp.1,Risk,,,,,right,HV,LH,,,,,,38.4,60,34.8,10,4.6,NA,7.2,14.34,NA,NA,29.56,147.8,14.34,7.2,14.34,NA,7.2,NA,,
,1,m,S4_23,12.767,RISK13,Exp.1,Risk,,,,,left,LV,LH,,,,,,60,58.2,45,9.3,22.2,37.4,60,40.88,11.38,60,38.68,232.1,35.69,50.44,60,11.38,40.88,60,,
,0,m,S4_24,12.567,RISK13,Exp.1,Risk,,,,,left,HV,LH,,,,,,60,24.52,40.37,28.5,46.22,8.15,60,36.58,18.03,36.59,34.63,207.76,36.59,39.02,36.58,36.59,60,18.03,,
,0,m,S4_25,13.1,RISK13,Exp.1,Risk,,,,,right,HV,LH,,,,,,60,49.6,33,5.4,60,13.2,60,19.82,25.32,25.07,36.87,221.2,22.45,42.66,19.82,25.07,60,25.32,,
,1,m,S4_26,12.767,RISK13,Exp.1,Risk,,,,,left,HV,HL,,,,,,60,46.7,39.2,16.4,22.3,13.3,16.71,6.73,9.6,17.75,32.98,197.9,12.24,13.16,6.73,17.75,16.71,9.6,,
,1,f,S4_27,12.9,RISK13,Exp.1,Risk,,,,,left,LV,HL,,,,,,60,35.4,23.1,18.2,6.6,32.5,5.18,7.87,11.78,11.77,29.3,175.8,8.48,9.82,5.18,11.78,7.87,11.77,,
,0,f,S4_28,13.167,RISK13,Exp.1,Risk,,,,,left,HV,LH,,,,,,60,60,20.7,11,4,6.1,24.21,60,39.79,60,26.97,161.8,60,32,60,60,24.21,39.79,,
,1,f,S4_29,12.6,RISK13,Exp.1,Risk,,,,,left,HV,HL,,,,,,48.7,20.7,60,13.9,23.5,12.4,11.49,18.21,27.29,23.61,29.87,179.2,20.91,19.39,18.21,23.61,11.49,27.29,,
,0,f,S4_3,12.833,RISK13,Exp.1,Risk,,,,,left,HV,LH,,,,,,51,6.4,16.5,6.4,2.3,2.3,9.88,15.17,29.63,60,14.15,84.9,37.59,19.76,15.17,60,9.88,29.63,,
,0,m,S4_30,13.067,RISK13,Exp.1,Risk,,,,,right,LV,HL,,,,,,60,33.2,37.8,20.2,53.3,14,33.84,9.02,13.57,8.06,36.42,218.5,23.71,8.54,33.84,13.57,9.02,8.06,,
,1,m,S4_31,12.933,RISK13,Exp.1,Risk,,,,,left,LV,LH,,,,,,60,60,57.8,43.2,14.2,42.4,60,59.6,45.18,12.32,46.27,277.6,52.59,35.96,60,45.18,59.6,12.32,,
,0,f,S4_32,13.1,RISK13,Exp.1,Risk,,,,,right,HV,HL,,,,,,35.3,7.2,3,4.3,21.3,11.4,9.05,14.32,NA,NA,13.75,82.5,14.32,9.05,14.32,NA,9.05,NA,,
,1,m,S4_4,13.133,RISK13,Exp.1,Risk,,,,,right,LV,HL,,,,,,60,60,46.8,11.8,22,3.6,37.69,15.09,7.55,6.96,34.03,204.2,22.62,11.03,37.69,7.55,15.09,6.96,,
,1,m,S4_5,12.967,RISK13,Exp.1,Risk,,,,,right,HV,LH,,,,,,60,60,10.3,60,7.1,60,9.44,51.73,7.74,8.13,42.9,257.4,29.93,8.59,51.73,8.13,9.44,7.74,,
,0,f,S4_6,12.967,RISK13,Exp.1,Risk,,,,,left,LV,HL,,,,,,60,60,8.7,13.9,43.1,20.6,15.27,53.67,47.61,44.55,34.38,206.3,31.44,49.11,15.27,47.61,53.67,44.55,,
,0,f,S4_7,12.833,RISK13,Exp.1,Risk,,,,,right,LV,LH,,,,,,54.6,60,13.7,15.3,60,22.5,47.76,37.88,NA,NA,37.68,226.1,47.76,37.88,47.76,NA,37.88,NA,,
,0,f,S4_8,12.633,RISK13,Exp.1,Risk,,,,,right,LV,LH,,,,,,60,24.5,6.7,23.5,26,10.7,17.2,29.8,12.61,18.91,25.23,151.4,14.91,24.36,17.2,12.61,29.8,18.91,,
,0,f,S4_9,13,RISK13,Exp.1,Risk,,,,,right,HV,HL,,,,,,60,34.6,10.4,57.7,4.5,16.2,23.54,23.27,NA,NA,30.57,183.4,23.27,23.54,23.27,NA,23.54,NA,,
,0,m,1,12.28646518,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam2,left,left,deep,NA,NA,39.14,9.21,8.84,8.88,8.51,21.48,39.6,58.71,8.12,20.49,16.01,96.06,39.6,21.91,58.71,20.49,39.6,8.12,NA,NA
,1,m,2,13.00919842,MR2,Exp.3,Risk,5,5,laptop,1,,shallow,fam1,left,left,shallow,15.69,8.18,60,60,52.7,49.29,7.75,8.25,21.89,32.62,NA 29.078,NA 14.26,39.66,237.99,21.89,32.62,21.89,NA 29.078,32.62,NA 14.26,15.69,8.18
,0,m,3,13.96189225,MR2,Exp.3,Risk,5,5,laptop,1,,shallow,fam2,right,right,shallow,16.55,5.33,53.92,11.78,39.18,48.42,18.48,25.73,13.52,28.64,NA 3.658,NA 7.936,32.92,197.52,13.52,28.64,13.52,NA 3.658,28.64,NA 7.936,16.55,5.33
,0,m,4,14.19185283,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam1,right,right,deep,6.82,7.32,60,41.29,59.07,14.01,3.97,47.74,12.28,10.73,11.84,13.83,37.68,226.08,12.28,16.43,10.73,13.83,12.28,11.84,7.32,6.82
,1,m,5,13.89618922,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam2,left,left,deep,11.16,4.46,59.26,60,58.9,44.02,17.24,36.83,9.61,9.61,NA 10.106,NA 10.726,46.04,276.24,9.61,21.76,9.61,NA 10.726,9.61,NA 10.106,4.46,11.16
,0,m,6,13.79763469,MR2,Exp.3,Risk,5,5,laptop,1,,shallow,fam1,left,left,shallow,20.96,12.28,60,15.56,NA 2.79,13.14,57.33,12.9,31.62,NA,31.62,27.84,31.79,158.94,31.62,27.84,31.62,31.62,NA,27.84,20.96,12.28
,1,m,7,13.8304862,MR2,Exp.3,Risk,5,5,laptop,1,,shallow,fam2,right,right,shallow,15.15,7.33,60,30.63,55.94,20.79,21.35,19.37,14.12,20.06,8.68,24.29,34.68,208.08,14.12,22.18,14.12,8.68,20.06,24.29,15.15,7.33
,1,f,8,13.46911958,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam1,right,right,deep,29.64,8.49,60,60,58.4,7.75,NA 4.154,48.98,17.24,26.85,10.04,7.63,47.03,235.13,17.24,17.36,26.85,7.63,17.24,10.04,8.49,29.64
,1,m,9,14.15900131,MR2,Exp.3,Risk,4,4,laptop,1,,deep,fam2,left,left,deep,12.34,14.2,60,8.93,NA 6.944,53.86,16.55,24.3,21.05,27.03,49.97,15.07,32.73,163.65,21.05,38.35,27.03,15.07,21.05,49.97,14.2,12.34
,0,m,10,15.44021025,MR2,Exp.3,Risk,5,5,laptop,0,,shallow,fam1,left,left,shallow,7.87,10.54,60,58.7,17.05,15.81,26.29,40.55,7.38,21.95,7.56,45.63,36.4,218.4,7.38,33.79,7.38,7.56,21.95,45.63,7.87,10.54
,1,m,11,14.91458607,MR2,Exp.3,Risk,5,5,laptop,0,,shallow,fam2,right,right,shallow,11.47,5.83,49.48,56.11,8.62,NA 1.55,19.78,3.6,36.92,54.23,36.52,23.44,27.52,137.58,36.92,38.84,36.92,36.52,54.23,23.44,11.47,5.83
,0,m,12,13.8304862,MR2,Exp.3,Risk,5,4,laptop,0,,deep,fam1,right,right,deep,NA 38.936,NA 15.128,60,60,58.95,58.82,32.92,8.25,27.37,16.86,30.75,37.88,46.49,278.94,27.37,28.64,16.86,37.88,27.37,30.75,NA 15.128,NA 38.936
,1,m,13,13.17345598,MR2,Exp.3,Risk,4,4,ipad,1,,deep,fam2,left,left,deep,16.86,9.98,59.13,60,60,47.62,16.86,7.75,7.35,8.12,7.87,6.57,41.89,251.36,7.35,7.81,8.12,6.57,7.35,7.87,9.98,16.86
,1,m,14,13.27201051,MR2,Exp.3,Risk,5,5,laptop,1,,shallow,fam1,left,left,shallow,18.04,14.69,60,58.51,56.47,60,41.79,6.01,21.95,8.06,NA 12.958,NA 2.232,47.13,282.78,21.95,8.06,21.95,NA 12.958,8.06,NA 2.232,18.04,14.69
,0,m,15,15.67017083,MR2,Exp.3,Risk,5,5,ipad,1,,shallow,fam2,right,right,shallow,11.59,10.79,59.32,56.71,51.38,NA 18.538,32.3,7.19,11.13,8.56,9.73,9.67,41.38,206.91,11.13,9.11,11.13,9.73,8.56,9.67,11.59,10.79
,0,f,16,13.63337714,MR2,Exp.3,Risk,NA,NA,ipad,1,,deep,fam1,right,right,deep,NA 8.37,NA 5.332,60,13.45,60,52.76,25.05,60,10.11,NA 9.672,15,10.11,45.21,271.26,10.11,15,NA 9.672,10.11,10.11,15,NA 5.332,NA 8.37
,1,f,17,13.89618922,MR2,Exp.3,Risk,5,5,laptop,0,,deep,fam2,left,left,deep,13.83,40.98,60,56.78,60,60,50.9,9.36,32.86,32.86,NA 18.538,NA 2.79,49.51,297.04,32.86,34.16,32.86,NA 2.79,32.86,NA 18.538,40.98,13.83
,1,m,18,15.60446781,MR2,Exp.3,Risk,4,4,laptop,0,,shallow,fam1,left,left,shallow,47.24,9.49,60,60,57.71,NA 41.292,58.57,14.2,21.61,15.62,6.88,7.01,50.1,250.48,21.61,11.32,21.61,6.88,15.62,7.01,47.24,9.49
,0,m,19,14.98028909,MR2,Exp.3,Risk,NA,NA,laptop,0,,shallow,fam2,right,right,shallow,12.28,8.12,60,60,59.01,25.48,20.34,24.18,13.09,23.13,7.33,15.38,41.5,249.01,13.09,19.25,13.09,7.33,23.13,15.38,12.28,8.12
,0,f,20,15.11169514,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam1,right,right,deep,15.62,13.64,60,56.96,58.64,59.07,57.02,57.95,38.75,NA,46.62,38.75,58.27,349.65,38.75,46.62,NA,38.75,38.75,46.62,13.64,15.62
,0,f,21,13.56767411,MR2,Exp.3,Risk,5,5,laptop,0,,deep,fam2,left,left,deep,7.25,12.34,35.53,56.9,57.52,25.05,59.38,NA 43.586,6.08,NA 1.364,16.12,6.08,46.87,234.37,6.08,16.12,NA 1.364,6.08,6.08,16.12,12.34,7.25
,1,f,22,14.61892247,MR2,Exp.3,Risk,5,5,laptop,1,,shallow,fam1,left,left,shallow,17.48,7.56,58.64,58.14,24.68,14.45,23.19,18.1,13.58,11.22,8.06,8.18,32.87,197.19,13.58,9.7,13.58,8.06,11.22,8.18,17.48,7.56
,1,f,23,13.99474376,MR2,Exp.3,Risk,4,4,laptop,0,,shallow,fam2,right,right,shallow,22.63,9.18,60,60,59.19,37.39,2.11,40.98,17.27,31.81,23.75,14.57,43.28,259.67,17.27,23.19,17.27,23.75,31.81,14.57,22.63,9.18
,0,f,24,14.09329829,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam1,right,right,deep,17.24,16.06,59.44,58.26,57.58,56.92,8.8,7.63,9.24,9.24,NA 28.458,NA 48.05,41.44,248.63,9.24,16.37,9.24,NA 48.05,9.24,NA 28.458,16.06,17.24
,0,f,25,13.5348226,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam2,left,left,deep,4.71,16.86,57.71,58.57,56.78,12.15,14.76,12.65,12.46,17.61,18.04,7.32,35.44,212.61,12.46,18.97,17.61,7.32,12.46,18.04,16.86,4.71
,1,f,26,14.06044678,MR2,Exp.3,Risk,5,5,laptop,1,,shallow,fam1,left,left,shallow,4.15,1.36,29.14,58.08,57.71,43.4,13.21,NA 38.378,13.33,NA 59.008,13.33,12.34,40.31,201.53,13.33,12.34,13.33,13.33,NA 59.008,12.34,4.15,1.36
,1,f,27,13.40341656,MR2,Exp.3,Risk,5,5,laptop,0,,shallow,fam2,right,right,shallow,15.31,7.13,56.78,60,53.86,12.4,NA 3.844,11.41,11.87,8,9.42,6.57,38.89,194.45,11.87,7.29,11.87,9.42,8,6.57,15.31,7.13
,0,f,28,14.84888305,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam1,right,right,deep,20.96,1.61,60,60,60,30.75,55.66,56.96,19.53,NA,36.89,19.53,53.9,323.37,19.53,36.89,NA,19.53,19.53,36.89,1.61,20.96
,0,f,29,13.43626807,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam2,left,left,deep,20.15,5.08,60,17.48,5.39,60,14.38,14.07,8.53,8.8,8.62,8.26,28.56,171.34,8.53,8.8,8.8,8.26,8.53,8.62,5.08,20.15
,1,f,30,14.06044678,MR2,Exp.3,Risk,5,5,laptop,1,,shallow,fam1,left,left,shallow,9.92,13.76,60,60,60,59.19,14.07,56.65,20.37,15.25,13.64,37.7,51.65,309.92,20.37,26.47,20.37,13.64,15.25,37.7,9.92,13.76
,1,f,31,13.66622865,MR2,Exp.3,Risk,5,5,ipad,1,,shallow,fam2,right,right,shallow,5.7,13.21,59.57,17.05,25.67,18.79,17.92,7.19,17.14,25.3,15.62,22.38,24.36,146.18,17.14,23.84,17.14,15.62,25.3,22.38,5.7,13.21
,0,f,32,15.47306176,MR2,Exp.3,Risk,5,5,laptop,0,,deep,fam1,right,right,deep,6.2,9.05,60,60,23.68,60,37.01,54.3,13.76,NA 13.144,15.25,13.76,49.17,294.99,13.76,15.25,NA 13.144,13.76,13.76,15.25,9.05,6.2
,1,f,33,15.04599212,MR2,Exp.3,Risk,5,5,laptop,0,,deep,fam2,left,left,deep,36.77,11.72,60,60,58.33,57.95,35.22,58.51,17.7,25.42,43.46,9.98,55,330.01,17.7,32.18,25.42,9.98,17.7,43.46,11.72,36.77
,0,f,34,15.40735874,MR2,Exp.3,Risk,5,5,laptop,0,,shallow,fam1,left,left,shallow,NA 4.712,NA 19.282,60,60,60,56.79,17.55,14.38,14.07,60,NA 7.812,NA 3.038,44.79,268.72,14.07,60,14.07,NA 7.812,60,NA 3.038,NA 4.712,NA 19.282
,1,f,35,15.11169514,MR2,Exp.3,Risk,4,4,ipad,1,,shallow,fam2,right,right,shallow,NA 12.462,NA 7.192,60,28.71,NA 38.316,57.46,22.44,20.09,11.59,7.81,8.06,11.9,37.74,188.7,11.59,9.86,11.59,8.06,7.81,11.9,NA 12.462,NA 7.192
,1,f,36,12.91064389,MR2,Exp.3,Risk,5,5,laptop,1,,deep,fam1,right,right,deep,15.19,12.28,60,43.34,59.94,NA 5.518,39.8,37.76,NA 13.7,NA 1.798,24.8,13.7,48.17,240.84,13.7,24.8,NA 1.798,13.7,NA 13.7,24.8,12.28,15.19
,0,f,37,13.04204993,MR2,Exp.3,Risk,5,5,ipad,0,,deep,fam2,left,left,deep,NA 0,NA 9.858,60,48.92,23.68,41.11,8.56,11.78,6.2,6.64,4.96,5.77,32.34,194.04,6.2,14.23,6.64,5.77,6.2,4.96,NA 9.858,NA 0
,0,f,38,13.04204993,MR2,Exp.3,Risk,5,5,ipad,0,,shallow,fam1,left,left,shallow,13.08,10.91,60,59.19,24.18,12.83,9.55,9.42,7.32,19.47,NA 6.448,NA 3.1,29.2,175.18,7.32,19.47,7.32,NA 6.448,19.47,NA 3.1,13.08,10.91
,1,f,39,12.97634691,MR2,Exp.3,Risk,5,5,ipad,1,,shallow,fam2,right,right,shallow,9.36,5.95,37.57,48.92,59.19,29.88,9.49,24.68,13.61,6.82,7.56,28.71,34.96,209.73,13.61,17.76,13.61,7.56,6.82,28.71,9.36,5.95
,0,f,40,12.28646518,MR2,Exp.3,Risk,5,5,laptop,0,,deep,fam1,right,right,deep,20.52,6.88,60,56.84,14.38,2.29,55.91,31.87,34.94,22.26,22.82,47.62,36.88,221.29,34.94,25.58,22.26,47.62,34.94,22.82,6.88,20.52
,0,m,41,12.68068331,MR2,Exp.3,Risk,5,5,laptop,0,,shallow,fam1,left,left,shallow,NA 1.86,NA 13.144,22.13,60,60,59.57,60,46.13,34.46,41.04,11.66,8.25,51.3,307.83,34.46,24.65,34.46,11.66,41.04,8.25,NA 1.86,NA 13.144
,1,m,42,12.68068331,MR2,Exp.3,Risk,5,5,laptop,0,,shallow,fam1,left,left,shallow,21.08,6.14,59.13,60,56.9,15.5,NA 4.96,12.77,10.79,15.44,NA 10.726,NA 16.12,40.86,204.3,10.79,15.44,10.79,NA 10.726,15.44,NA 16.12,21.08,6.14
1,1,m,10m_1,9.53,MR3,Exp.3b,Risk,5,5,ipad,0,A,deep,fam1,right,right,deep,9.548,6.173,60,56.094,17.05,49.166,NA_5.89,7.812,6.138,9.362,10.478,2.79,38.0244,190.122,6.076,8.308,9.362,2.79,6.138,10.478,6.173,21.08
5,1,m,10m_5,10.43,MR3,Exp.3b,Risk,5,5,laptop,0,A,deep,fam1,right,right,deep,4.96,8.618,60,60,57.334,59.008,39.618,NA_17.422,7.75,46.19,32.054,15.066,55.192,275.96,30.628,19.902,46.19,15.066,7.75,32.054,8.618,9.548
9,1,m,10m_9,9.83,MR3,Exp.3b,Risk,5,5,laptop,0,A,deep,fam1,right,right,deep,13.02,5.952,60,60,60,59.194,NA_27.59,23.188,14.694,8.866,NA_9.362,NA_5.89,52.4764,262.382,8.866,14.694,8.866,NA_5.89,14.694,NA_9.362,5.952,4.96
13,0,m,10m_13,10.06,MR3,Exp.3b,Risk,5,5,ipad,1,A,deep,fam1,right,right,deep,20.088,17.36,60,60,53.986,59.628,59.566,60,48.174,44.888,22.444,15.934,58.86333333,353.18,30.411,35.309,44.888,15.934,48.174,22.444,17.36,13.02
17,0,m,10m_17,9.83,MR3,Exp.3b,Risk,4,5,ipad,1,A,deep,fam1,right,right,deep,11.656,10.664,58.016,58.698,28.83,2.17,57.334,4.216,21.39,46.376,6.944,24.924,34.87733333,209.264,35.65,14.167,46.376,24.924,21.39,6.944,10.664,20.088
