,reliability,sex,subj,agem,experiment,exp,cost,video_quality,audio_quality,device,highchair,HV_side,first_test,first_fam,first_test_deeper_side,control_deeper_side,control_firstevent,control_1,control_2,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,testavg_lower,testavg_higher,lower1,lower2,higher1,higher2,control_shallow,control_deep
,,m,S1_1,10.5,LUTS.Exp.1,,Barriers,,,,,left,HV,HL,,,,,,60,60,60,60,59.12,9.75,32.8,6.38,14.2,60,51.48,308.87,33.19,23.5,6.38,60,32.8,14.2,,
,,f,S1_10,9.9,LUTS.Exp.1,,Barriers,,,,,left,LV,LH,,,,,,60,60,50.06,23.11,13.93,14.26,54.04,20.82,11.82,19.46,36.89,221.36,32.93,20.14,54.04,11.82,20.82,19.46,,
,,m,S1_11,9.8,LUTS.Exp.1,,Barriers,,,,,left,HV,HL,,,,,,60,60,48.73,60,29.89,36.65,52.47,18.15,34.18,30.82,49.21,295.27,24.49,43.33,18.15,30.82,52.47,34.18,,
,,m,S1_12,9.9,LUTS.Exp.1,,Barriers,,,,,right,LV,LH,,,,,,60,60,60,37.15,13.48,51.68,33.26,45.95,5.65,14.07,47.05,282.31,19.46,30.01,33.26,5.65,45.95,14.07,,
,,f,S1_13,10.167,LUTS.Exp.1,,Barriers,,,,,right,HV,LH,,,,,,60,60,60,40.67,28.57,10.77,7.22,6.86,6.5,NA,43.34,260.01,6.86,6.86,6.86,NA,7.22,6.5,,
,,f,S1_14,9.967,LUTS.Exp.1,,Barriers,,,,,right,LV,HL,,,,,,60,11.14,56.06,60,32.97,28.77,17.37,9.95,12.22,6.71,41.49,248.94,14.8,8.33,17.37,12.22,9.95,6.71,,
,,f,S1_15,9.867,LUTS.Exp.1,,Barriers,,,,,left,HV,LH,,,,,,50.16,60,14.5,60,26.02,15.39,30.25,27.23,9.85,NA,37.68,226.07,27.23,20.05,27.23,NA,30.25,9.85,,
,,f,S1_16,9.633,LUTS.Exp.1,,Barriers,,,,,right,HV,HL,,,,,,60,60,60,60,60,38.72,60,41.59,16.9,48.4,56.45,338.72,45,38.45,41.59,48.4,60,16.9,,
,,f,S1_17,9.733,LUTS.Exp.1,,Barriers,,,,,right,HV,LH,,,,,,60,60,60,4.78,60,10.76,12.44,13.5,60,10.31,42.59,255.54,11.91,36.22,13.5,10.31,12.44,60,,
,,f,S1_18,9.433,LUTS.Exp.1,,Barriers,,,,,left,HV,HL,,,,,,60,60,37.77,60,54.53,12.2,20.6,54.48,9.27,8.19,47.42,284.5,31.34,14.94,54.48,8.19,20.6,9.27,,
,,m,S1_19,10.267,LUTS.Exp.1,,Barriers,,,,,right,LV,LH,,,,,,60,60,48.29,5.38,12.77,19.32,11.17,11.4,11.8,10.24,34.29,205.76,11.49,10.82,11.17,11.8,11.4,10.24,,
,,f,S1_2,9.6,LUTS.Exp.1,,Barriers,,,,,left,LV,HL,,,,,,60,60,37.83,25.99,56.68,38.89,17.48,60,26.73,7.2,46.57,279.39,22.11,33.6,17.48,26.73,60,7.2,,
,,m,S1_20,10.533,LUTS.Exp.1,,Barriers,,,,,right,LV,HL,,,,,,60,60,46.36,18.56,10.22,13.45,46.77,18.05,57.4,13.34,34.77,208.59,52.09,15.7,46.77,57.4,18.05,13.34,,
